	background	ME23	ME25	ME12	ME21	ME31	ME47	ME13	ME39	ME27	ME5	ME10	ME40	ME7	ME33	ME4	ME11	ME49	ME6	ME15	ME44	ME14	ME19	ME55	ME57	ME1	ME16	ME24	ME51	ME34	ME54	ME3	ME50	ME17	ME9	ME26	ME22	ME20	ME45	ME36	ME53	ME58	ME18	ME30	ME35	ME37	ME8	ME59	ME43	ME38	ME56	ME46	ME28	ME2	ME41	ME48	ME29	ME52	ME32	ME42	ME0
46	NA	408562	409725	100578400	551146	724483	725300	552151	100576572	726096	413805	727320	411091	727309	551726	412666	551972	NA	724218	727408	409285	726339	552127	NA	NA	408373	NA	409271	NA	411486	NA	NA	NA	NA	727081	409278	NA	100577711	100577181	726718	NA	NA	412543	NA	NA	NA	413462	NA	NA	551793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	NA	551540	550827	411450	551707	725351	724385	725837	100578129	NA	725217	726212	NA	409614	413854	NA	409310	724256	412487	725194	NA	NA	552196	NA	NA	408374	100577746	551817	NA	NA	NA	725353	NA	NA	NA	409723	NA	NA	NA	726494	NA	NA	551128	NA	412393	NA	413844	NA	100576886	100578929	NA	NA	411070	410369	408694	724929	NA	NA	NA	410620	NA
48	NA	408723	410907	NA	410337	100578466	NA	725556	NA	NA	NA	NA	724424	408441	724399	551009	552403	724846	726737	552293	724640	726159	NA	NA	NA	100578829	NA	NA	100578729	NA	NA	NA	410044	NA	NA	NA	409822	411541	551823	726228	NA	NA	411657	408828	NA	725389	411597	NA	NA	410092	NA	NA	NA	100578276	NA	409965	NA	NA	NA	410884	NA
49	412747	100576620	100578127	NA	551735	411696	724152	411589	NA	100576982	551178	552623	NA	408493	412545	NA	413592	100577192	552692	NA	NA	411582	411735	NA	NA	NA	552617	413474	NA	411086	NA	725085	410956	NA	678510	NA	411265	NA	NA	413795	NA	NA	552106	727510	413083	408286	NA	NA	552728	NA	NA	NA	NA	NA	409139	NA	100577789	NA	551259	551849	NA
50	725619	550915	724262	409001	NA	724767	100578989	409659	726819	724378	408882	411268	725469	410556	100576759	NA	NA	551814	411381	411003	100578515	413250	412219	NA	NA	NA	NA	413356	NA	100577015	NA	NA	NA	NA	726411	NA	NA	100576859	NA	411730	NA	NA	725038	NA	551036	NA	413676	NA	726934	NA	NA	NA	410161	NA	409774	NA	410332	NA	408414	727650	411408
51	725753	408702	552007	NA	NA	NA	412560	100576412	100577228	408416	NA	NA	NA	410547	412265	413643	724676	100577640	726445	726817	NA	412176	413944	NA	NA	409108	NA	412665	NA	NA	NA	NA	NA	NA	NA	409130	NA	NA	NA	NA	NA	NA	100576667	NA	410612	551807	409240	NA	677671	408395	NA	NA	NA	410363	412888	726039	551323	NA	408420	100578731	411406
52	410446	411655	408701	100576263	NA	NA	100576355	552061	NA	551179	100578266	552284	100577676	411279	552742	552003	NA	725379	100576220	412898	411503	413361	409152	NA	NA	406135	NA	NA	NA	724458	NA	410365	NA	NA	NA	725167	408791	409358	727285	551304	NA	NA	100576647	NA	408533	551863	NA	NA	NA	726987	NA	NA	NA	NA	NA	NA	724685	NA	413047	NA	725384
53	410039	724886	551229	NA	NA	725829	412986	411756	725197	NA	725850	NA	726679	726000	413297	NA	551126	NA	411595	100576101	100576895	NA	410255	NA	NA	552121	NA	NA	NA	408273	NA	551737	NA	410999	NA	551537	411011	NA	NA	726100	NA	NA	726781	NA	726095	NA	410065	NA	406066	100578084	NA	NA	550829	100578562	NA	552747	409634	NA	NA	552190	725345
54	408424	551079	NA	411150	NA	NA	724783	550966	727022	NA	552815	724856	551711	413625	552178	409244	409766	NA	724816	409867	NA	725704	100576773	NA	NA	NA	551934	NA	NA	NA	NA	NA	NA	NA	408965	551347	NA	NA	NA	NA	NA	NA	725462	726238	726353	552734	NA	NA	410495	408467	NA	NA	410235	NA	NA	NA	408561	NA	411188	NA	406080
55	NA	552826	411062	411452	409729	551033	NA	725435	100577224	727618	NA	NA	NA	409544	552329	100576645	NA	NA	551856	412286	552116	NA	413667	NA	NA	413128	NA	408821	NA	NA	NA	NA	NA	NA	551663	552009	408917	413873	NA	NA	NA	NA	412018	NA	724303	100578703	726318	NA	411978	NA	NA	NA	NA	NA	NA	406102	408551	NA	NA	NA	100188973
