""	X8751ID	X8756ID	X875aID	X8827ID	X882gID	X882kID	X882mID	X888eID	X888qID	X888uID	X894cID	X894fID	X894iID	X8751IQ	X8756IQ	X875aIQ	X8827IQ	X882gIQ	X882kIQ	X882mIQ	X888eIQ	X888qIQ	X888uIQ	X894cIQ	X894fIQ	X894iIQ
GB49432	10	22	24	16	9	4	16	9	18	4	26	14	2	10	14	17	16	9	4	16	8	12	4	0	8	0
GB49436	8	10	23	2	82	5	16	1	237	76	28	11	10	8	10	23	2	82	5	16	0	209	62	28	11	10
GB49437	0	0	1	0	0	0	0	0	7	0	3	1	0	0	0	0	0	0	0	0	0	2	0	3	1	0
GB49440	115	356	228	293	261	1377	271	204	145	119	965	835	201	31	147	93	41	49	272	71	98	10	10	190	160	74
GB49448	107	166	385	138	88	174	280	147	201	41	338	340	47	107	166	385	138	88	174	280	147	201	41	338	340	47
GB49452	10	33	71	15	14	34	41	21	23	5	48	42	11	10	33	71	15	14	34	41	1	1	0	0	5	0
GB49466	81	32	50	2	1	8	1	1	31	13	49	3	0	80	33	41	1	2	1	1	0	30	12	48	2	0
GB49467	15	17	5	4	2	7	0	3	5	1	20	8	5	11	16	11	2	3	10	0	0	0	0	20	12	5
GB49469	12	8	9	0	8	18	10	8	9	1	20	19	3	13	8	9	0	8	18	10	0	0	0	20	19	3
GB49473	4	6	52	1	0	2	0	0	4	0	9	6	5	2	5	27	1	0	2	0	0	4	0	9	6	5
GB49475	0	12	33	0	2	0	1	0	2	0	11	6	0	0	12	33	0	2	0	1	0	2	0	11	6	0
GB49476	4	33	32	7	10	47	24	12	35	9	42	27	2	5	29	33	7	10	47	24	11	35	8	42	27	2
GB49480	0	1	17	2	0	6	12	0	4	4	9	7	2	0	1	17	2	0	6	12	0	4	4	9	7	2
GB49483	60	50	86	22	43	36	49	38	95	25	86	40	21	58	50	87	23	42	33	49	39	95	25	88	39	21
GB49484	24	28	29	10	16	10	16	11	35	16	25	37	12	22	28	30	10	16	9	16	11	35	16	25	37	12
GB49490	0	3	11	1	0	1	1	1	3	0	3	1	1	23	32	85	21	9	31	39	14	37	7	42	57	14
GB49500	3	7	0	2	0	3	0	0	0	7	9	0	0	1	9	0	2	0	3	0	0	0	7	6	3	0
GB49503	0	3	0	0	9	0	0	0	54	3	9	0	0	0	3	0	0	9	0	0	0	54	3	9	0	0
GB49504	8	12	23	2	177	5	22	1	584	143	31	14	12	8	10	23	2	176	5	22	0	509	115	31	14	12
GB49505	86	166	298	63	106	94	216	60	152	57	185	238	57	47	190	281	49	100	218	216	48	113	44	70	189	30
GB49506	9	15	17	10	6	4	15	9	11	2	20	12	2	10	14	17	10	6	4	15	8	5	2	0	4	0
GB49511	208	127	612	50	35	138	218	93	997	125	525	335	99	197	124	614	52	29	121	205	92	1010	126	538	341	117
GB49512	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0
GB49533	23	25	149	20	11	23	19	13	78	20	43	44	4	23	25	150	20	13	23	19	0	0	0	19	23	1
GB49534	10	20	167	20	16	45	58	25	37	5	24	57	3	21	42	286	37	20	76	92	38	65	7	45	99	6
GB49535	2817	2694	6092	1966	575	624	1405	648	3348	1070	3022	2314	689	2928	2460	6232	1885	621	674	1359	680	3401	1011	2784	2270	634
GB49541	246	179	706	61	68	64	251	39	219	146	494	168	63	243	113	808	39	62	29	138	36	210	147	356	165	79
GB49542	19	41	30	9	15	29	4	12	51	11	62	46	33	8	13	30	4	20	16	8	12	51	11	62	46	33
GB49543	1290	1704	4903	3298	2445	2466	11451	489	3937	644	3800	12343	1270	1034	1432	4472	2919	2141	2069	10816	410	3603	663	4360	13405	1304
GB49544	4352	1062	73	9902	1011	270	1541	1608	1951	1903	1821	3905	2602	15	4	72	19	954	4	1543	1608	1950	1904	363	578	375
GB49545	20	18	35	13	16	19	44	6	23	4	34	32	5	13	17	36	12	13	16	43	25	78	6	37	30	7
GB49546	180	90	222	165	104	121	90	42	114	30	96	210	24	180	90	224	162	103	121	91	42	114	30	97	210	24
GB49548	10375	7174	18141	6390	4602	5397	6014	2138	9393	4038	7466	9926	2807	10299	7137	17842	6753	4343	6205	5819	1777	8208	4474	6964	10301	2924
GB49552	103	254	318	68	118	228	267	115	302	59	218	307	46	103	256	329	69	118	228	264	115	302	59	219	307	46
GB49553	5	14	5	5	2	12	0	2	2	1	12	8	1	0	0	7	0	4	0	2	1	2	1	12	8	1
GB49555	0	0	0	15	28	40	39	18	27	10	73	58	7	7	21	17	15	28	40	39	0	0	0	73	58	7
GB49556	2	10	12	1	2	6	0	2	4	0	10	3	3	2	10	12	1	2	25	0	2	4	0	10	3	3
GB49559	4	21	18	7	6	21	20	3	29	5	41	29	3	4	21	18	7	6	21	20	3	29	5	41	29	3
GB49560	71	190	378	57	13	10	70	36	136	56	138	109	20	70	162	368	29	9	55	75	30	139	52	129	111	25
GB49562	264	904	822	664	556	636	998	198	498	148	967	816	144	264	904	822	668	556	636	998	198	498	148	966	816	144
GB49563	6	14	58	25	32	38	35	8	6	4	42	133	24	6	12	30	25	30	38	35	8	6	4	46	142	30
GB49564	13	39	51	32	28	32	53	4	88	0	50	76	6	12	32	33	32	22	32	53	0	83	0	50	78	6
GB49566	154	406	3103	2050	108	1024	568	39	62	68	1214	96	53	115	379	3093	2025	84	1022	536	77	86	22	1132	110	100
GB49567	10716	12157	19512	8894	5271	8842	7988	2863	8645	4983	10797	7035	2068	8014	9100	19716	8171	4738	9901	6707	3910	11015	4294	9653	7468	2211
GB49568	74	121	522	27	32	21	191	7	86	16	202	139	27	31	87	447	11	18	9	183	16	91	13	264	117	39
GB49572	15	25	14	10	8	11	6	7	0	10	25	18	0	15	25	14	10	8	11	6	7	0	10	25	18	0
GB49575	150	153	192	65	79	31	197	9	91	45	308	188	51	51	81	126	68	74	39	200	69	75	36	412	232	68
GB49577	57	53	48	55	15	22	29	11	13	11	29	67	14	0	1	63	1	5	21	17	11	14	11	2	0	0
GB49579	270	25	30	340	15	25	120	285	726	15	70	726	140	280	20	26	410	10	35	135	280	726	15	71	728	140
GB49580	2249	290	243	6737	287	2724	5530	1701	4045	159	3579	15790	1925	396	15	233	717	314	305	4851	1589	4327	38	2902	13769	1699
GB49581	11	1	2	4	3	0	4	0	3	0	13	5	2	0	0	2	0	2	1	2	6	8	0	10	4	2
GB49583	782	1144	1255	379	529	1255	1073	1154	1130	218	1879	1632	292	719	1059	1146	379	530	1255	1073	1155	1130	218	1879	1613	292
GB49586	15	32	55	5	10	25	39	3	18	4	51	37	0	15	32	55	5	10	25	39	3	18	4	51	37	0
GB49587	85	97	161	41	38	30	63	37	66	40	52	90	29	85	97	163	35	31	83	69	37	66	40	46	96	15
GB49588	4050	5355	9801	2272	2366	2368	3581	2026	3187	1995	4042	4917	1343	4055	4434	9562	2058	2091	4542	3613	2029	3199	1992	3496	4982	726
GB49589	20	48	63	15	19	35	33	17	21	5	77	39	7	19	24	75	9	13	22	20	17	21	5	77	39	7
GB49590	162	341	499	85	102	181	199	66	197	56	251	280	48	174	225	493	63	104	188	136	67	198	55	255	283	49
GB49592	56	36	125	40	4	6	18	10	62	12	49	41	8	56	36	124	40	4	2	18	10	62	12	49	40	8
GB49594	8	40	127	10	23	50	31	22	48	4	49	32	6	8	41	127	10	23	50	31	22	48	4	49	32	6
GB49597	79	209	464	62	66	199	190	37	128	52	301	178	56	79	209	466	62	66	199	190	37	128	52	22	165	0
GB49602	1676	1951	1759	1046	1512	2040	1469	996	1733	474	1896	1589	663	1687	1938	1738	1040	1524	2044	1476	992	1705	476	1892	1588	653
GB49605	20	49	25	12	10	22	17	5	11	5	52	31	15	20	49	25	0	7	0	0	5	11	5	52	31	15
GB49609	6	12	0	0	2	3	0	5	0	3	6	8	0	0	0	0	0	0	0	0	5	0	3	0	0	0
GB49623	28	29	31	15	20	53	31	38	40	11	74	33	13	27	29	31	15	20	53	31	38	40	11	74	33	13
GB49626	2	0	5	0	0	2	3	2	0	0	4	10	0	3	1	4	0	0	2	3	2	0	0	4	10	0
GB49637	12	37	122	19	13	40	30	10	28	15	62	51	14	12	37	122	19	13	40	30	10	28	15	62	51	14
GB49639	0	0	22	11	0	22	22	0	11	0	44	23	0	1	0	22	11	0	22	22	0	11	0	45	22	0
GB49640	76	173	439	45	40	19	85	122	178	48	212	107	10	109	201	371	43	39	22	81	29	131	48	210	106	11
GB49646	6	1	2	3	1	2	4	0	8	0	0	5	0	6	1	2	4	1	2	4	0	8	0	0	5	0
GB49647	0	0	2	0	0	2	3	2	6	0	0	1	0	4	0	0	1	0	0	3	1	6	0	0	2	1
GB49649	82	160	82	204	196	330	626	104	330	86	318	554	70	46	130	128	204	196	330	624	104	330	86	318	552	70
GB49650	17260	10328	34073	13326	8177	17140	26826	5013	17912	4925	16043	29713	4735	17208	10338	33901	13296	8158	17110	26801	4848	16845	4660	15709	30009	4779
GB49657	1841	1520	1596	1097	916	1039	1139	545	1572	608	1071	1123	382	1990	1585	1687	1107	835	967	1099	571	1679	562	1124	1197	411
GB49662	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	1	0	2	0
GB49664	3	11	14	6	0	2	4	0	11	2	9	6	3	2	8	13	6	0	2	4	1	6	2	8	7	3
GB49668	7	16	19	11	11	21	9	2	21	8	27	16	7	4	8	16	11	11	21	9	3	16	8	24	11	6
GB49671	0	5	7	0	1	6	2	0	11	3	1	3	0	0	5	8	0	1	1	2	0	11	3	2	3	0
GB49672	65	64	88	72	95	197	105	28	28	53	177	161	26	45	88	132	51	70	148	66	0	2	40	157	137	20
