"","ID","GeneID","GenbankID","OtherID"
"17381","rna17380","100578512"," Genbank:XM_026442854.1","GB42620"
"17382","rna17381","113219000"," Genbank:XM_026442856.1)",""
"17383","rna17382","726796"," Genbank:XM_026442855.1","GB42619"
"17384","rna17383","113219011"," Genbank:XM_026442961.1)",""
"17385","rna17384","113219012"," Genbank:XM_026442962.1)",""
"17386","rna17385","113218988"," Genbank:XM_026442758.1)",""
"17387","rna17386","102653673"," Genbank:XM_016913972.2)",""
"17388","rna17387","100577667"," Genbank:XM_016913974.2)",""
"17389","rna17388","726818"," Genbank:XM_006561800.3","GB42616"
"17390","rna17389","409012"," Genbank:XM_006561508.3","GB42866"
"17391","rna17390","409012"," Genbank:XM_026442598.1","GB42866"
"17392","rna17391","409012"," Genbank:XM_006561509.3","GB42866"
"17393","rna17392","409012"," Genbank:NM_001256039.1","GB42866"
"17394","rna17393","100859932"," Genbank:NM_001256040.1)",""
"17395","rna17394","102653763"," Genbank:XM_026442963.1)",""
"17396","rna17395","113219015"," Genbank:XM_026442972.1)",""
"17397","rna17396","113219015"," Genbank:XM_026442973.1)",""
"17398","rna17397","409011"," Genbank:XM_006561809.3","GB42871"
"17399","rna17398","409011"," Genbank:XM_006561808.3","GB42871"
"17400","rna17399","409011"," Genbank:XM_392540.7","GB42871"
"17401","rna17400","409011"," Genbank:XM_026442971.1","GB42871"
"17402","rna17401","551265"," Genbank:XM_006561807.3","GB42614"
"17403","rna17402","551265"," Genbank:XM_623656.5","GB42614"
"17404","rna17403","411327"," Genbank:XM_016914185.2","GB42872"
"17405","rna17404","411326"," Genbank:XM_006561816.3","GB42874"
"17406","rna17405","411326"," Genbank:XM_006561815.3","GB42874"
"17407","rna17406","409010"," Genbank:XM_006561813.3","GB42613"
"17408","rna17407","409010"," Genbank:XM_016914061.2","GB42613"
"17409","rna17408","726941"," Genbank:XM_006561817.3","GB42875"
"17410","rna17409","726941"," Genbank:XM_003249891.4","GB42875"
"17411","rna17410","726950"," Genbank:XM_006561818.3","GB42612"
"17412","rna17411","726950"," Genbank:XM_001122667.5","GB42612"
"17413","rna17412","102654316"," Genbank:XR_003305356.1)",""
"17414","rna17413","102654316"," Genbank:XR_003305355.1)",""
"17415","rna17414","107965854"," Genbank:XM_016917590.2)",""
"17416","rna17415","107965854"," Genbank:XM_026442873.1)",""
"17417","rna17416","100315680"," Genbank:NR_034310.1"," miRBase:MI0010612)"
"17418","rna17417","100315680"," miRBase:MIMAT0010117"," miRBase:MI0010612)"
"17419","rna17418","409007"," Genbank:XM_006561820.3","GB17627"
"17420","rna17419","409007"," Genbank:XM_006561825.3","GB17627"
"17421","rna17420","409007"," Genbank:XM_006561821.3","GB17627"
"17422","rna17421","409007"," Genbank:XM_006561823.3","GB17627"
"17423","rna17422","409007"," Genbank:XM_006561822.3","GB17627"
"17424","rna17423","409007"," Genbank:XM_006561826.3","GB17627"
"17425","rna17424","409007"," Genbank:XM_006561824.3","GB17627"
"17426","rna17425","409007"," Genbank:XM_006561827.3","GB17627"
"17427","rna17426","102654874"," Genbank:XM_006561828.3)",""
"17428","rna17427","726860"," Genbank:XM_001120801.4)",""
"17429","rna17428","726850"," Genbank:XM_006561819.3","GB42607"
"17430","rna17429","726850"," Genbank:XM_001120774.5","GB42607"
"17431","rna17430","732510"," Genbank:NR_031527.1"," miRBase:MI0001594)"
"17432","rna17431","732510"," miRBase:MIMAT0001489"," miRBase:MI0001594)"
"17433","rna17432","411323"," Genbank:XM_006561560.3","GB42606"
"17434","rna17433","411323"," Genbank:XM_006561561.2","GB42606"
"17435","rna17434","411323"," Genbank:XM_006561559.2","GB42606"
"17436","rna17435","411323"," Genbank:XM_026442611.1","GB42606"
"17437","rna17436","411323"," Genbank:XM_006561562.2","GB42606"
"17438","rna17437","411323"," Genbank:NM_001202460.1","GB42606"
"17439","rna17438","409006"," Genbank:XM_006561832.3","GB42604"
"17440","rna17439","409006"," Genbank:XM_006561831.3","GB42604"
"17441","rna17440","409006"," Genbank:XM_016913896.2","GB42604"
"17442","rna17441","409006"," Genbank:XM_006561833.3","GB42604"
"17443","rna17442","409006"," Genbank:XM_392535.7","GB42604"
"17444","rna17443","409005"," Genbank:XM_392534.7","GB42880"
"17445","rna17444","409004"," Genbank:XM_006561834.3","GB42881"
"17446","rna17445","409004"," Genbank:XM_392533.7","GB42881"
"17447","rna17446","409003"," Genbank:XM_016913823.2","GB42603"
"17448","rna17447","409003"," Genbank:NM_001145736.1","GB42603"
"17449","rna17448","100578354"," Genbank:XR_001704168.2)",""
