""	X8754AD	X875cAD	X875gAD	X8820AD	X882cAD	X882pAD	X888aAD	X888hAD	X888jAD	X894bAD	X894qAD	X894rAD	X8754AQ	X875cAQ	X875gAQ	X8820AQ	X882cAQ	X882pAQ	X888aAQ	X888hAQ	X888jAQ	X894bAQ	X894qAQ	X894rAQ
GB47652	20	64	46	29	19	36	112	147	106	49	11	21	25	64	43	40	20	45	112	147	106	16	1	8
GB47654	118	26	90	49	25	58	35	72	74	98	46	76	97	28	92	49	25	57	33	78	74	99	49	76
GB47660	2	4	4	7	4	8	2	1	2	5	8	14	3	2	4	1	1	4	4	3	8	3	1	4
GB47669	1458	144	2741	2698	2666	5780	5271	9720	5578	3990	2655	3680	1457	143	2741	2704	2930	6288	4866	9518	5143	3990	2650	3679
GB47672	0	0	4	0	0	4	0	0	3	2	0	0	0	0	2	0	0	4	0	0	2	2	1	0
GB47675	0	2	2	2	0	4	0	5	1	0	1	0	0	2	2	2	0	5	0	5	1	0	1	0
GB47688	9	7	3	7	3	0	2	5	1	4	0	2	1	1	0	0	0	1	2	5	1	2	0	0
GB47693	412	2965	1925	1546	779	3093	1438	1876	1247	2939	2302	2456	419	2924	1595	1453	676	3206	1442	1856	1239	2861	2244	2380
GB47696	7	2	18	0	4	11	12	7	7	10	3	13	8	1	19	0	6	8	12	7	8	10	6	13
GB47701	29	0	6	4	5	7	9	0	0	17	18	20	29	0	6	4	5	7	10	0	0	17	18	20
GB47707	0	2	1	0	2	5	1	0	1	6	0	1	0	2	0	0	2	4	0	2	0	1	0	1
GB47708	0	4	1	0	5	13	2	3	1	13	2	3	2	1	1	0	5	8	0	7	2	3	0	1
GB47709	1	0	1	0	2	4	0	1	0	6	0	1	1	0	0	0	2	5	0	3	0	1	0	0
GB47710	127	17	11	2	10	88	9	22	207	93	126	90	130	13	17	3	8	98	17	23	207	86	130	94
GB47717	1446	284	275	164	209	392	375	134	62	721	942	941	1438	239	237	164	202	427	382	125	58	713	947	896
GB47718	19	10	11	5	8	6	2	2	6	40	30	25	15	10	1	0	0	13	3	3	8	40	30	25
GB47723	470	4473	1996	1549	796	3136	1476	1904	1286	3030	2561	2567	486	4391	1625	1454	693	3265	1475	1889	1279	2952	2503	2493
GB47729	11	3	19	1	2	33	5	10	11	13	41	16	10	5	4	1	2	30	5	9	11	13	41	16
GB47736	0	0	3	5	4	4	3	3	4	1	0	4	0	0	3	1	1	3	2	0	1	1	0	4
GB47737	120	34	43	17	0	31	27	129	40	9	36	26	120	32	41	16	0	33	28	131	40	0	1	48
GB47768	125	222	176	192	108	256	485	778	526	90	38	64	125	222	176	192	108	256	485	778	526	83	9	8
GB47770	26	2	16	6	5	15	8	8	2	4	3	13	26	2	16	6	5	15	0	3	17	0	0	0
GB47771	289	93	91	49	42	5	245	214	252	71	79	43	53	27	34	161	87	28	33	119	146	29	11	7
GB47772	47	52	59	13	26	68	118	45	18	15	58	52	47	52	59	17	27	73	37	65	17	10	0	5
GB47773	39	91	80	47	40	120	103	81	70	86	132	72	39	91	80	47	40	120	103	81	69	86	131	71
GB47777	1	1	10	0	0	6	1	0	1	5	1	1	0	0	10	1	0	4	3	0	1	1	5	2
GB47779	0	0	5	1	0	1	2	1	3	0	3	1	0	0	5	1	0	1	2	1	2	0	0	0
GB47785	15	51	6	6	9	12	12	15	15	1	0	0	6	3	0	3	3	9	20	6	6	0	0	0
GB47788	2096	177	12368	681	258	615	1336	929	1290	5276	4285	5997	2090	153	12166	719	240	686	1313	873	1157	4925	4206	5345
GB47791	194	218	407	441	441	1339	614	597	312	148	170	319	230	276	414	441	440	1341	622	596	316	126	163	247
GB47793	614	61	4378	184	94	43	461	185	473	1669	1121	1974	568	48	4365	192	98	86	434	154	471	1627	1085	2049
GB47799	90	166	285	97	107	408	111	244	53	176	237	206	105	220	311	100	127	463	146	265	59	228	341	259
GB47802	39	91	80	47	40	120	103	81	70	86	132	72	39	91	80	47	40	120	103	81	69	86	131	71
GB47803	31	15	24	6	12	29	33	16	10	5	21	19	31	15	24	6	12	29	33	16	10	5	0	1
GB47804	26	4	102	29	26	9	8	2	2	24	23	7	26	4	102	30	31	11	8	2	2	24	23	7
GB47805	2447	426	796	450	779	378	1432	901	607	716	896	1229	2832	366	779	314	446	160	920	866	583	552	853	1102
GB47806	40	11	26	9	8	41	9	6	5	10	13	9	33	12	31	13	9	13	0	5	3	12	9	3
GB47807	30	12	4	14	12	20	34	14	13	38	17	22	22	22	7	7	14	38	20	20	18	34	13	22
GB47808	4	8	3	1	2	12	28	28	6	11	4	9	4	8	3	1	2	10	28	23	6	12	4	9
GB47815	7	10	3	7	3	20	6	7	2	12	9	4	7	10	3	7	3	19	12	16	4	9	9	4
GB47816	18	8	49	26	17	84	65	161	86	34	23	26	11	6	30	32	16	25	56	13	87	50	15	45
GB47817	0	2	0	0	0	4	7	6	0	1	5	0	0	1	0	0	0	3	7	6	0	1	2	0
GB47818	8	19	25	3	0	24	16	48	4	26	10	9	2	25	25	3	0	12	16	11	13	23	6	2
GB47838	2	2	3	0	7	37	1	9	0	3	5	3	2	2	7	0	0	14	0	8	1	0	3	1
GB47845	173	107	122	112	50	102	185	355	278	70	35	33	174	112	124	112	50	101	183	353	278	49	16	14
GB47846	25	37	30	23	11	30	66	62	47	16	24	14	25	37	30	23	11	30	66	62	47	12	0	9
GB47853	2	0	0	0	0	1	5	1	25	0	0	0	6	0	0	0	0	1	5	1	27	0	0	0
GB47854	0	0	1	1	1	1	0	2	3	3	0	0	0	0	0	1	1	1	0	2	3	3	0	0
GB47855	0	3	2	9	8	8	1	21	26	26	0	0	2	0	4	8	8	8	1	19	26	25	0	0
GB47869	1131	424	572	534	21	282	43	955	292	296	71	301	1065	430	560	517	8	246	44	552	90	284	67	285
GB47870	8	8	6	4	0	0	0	16	4	0	0	0	8	8	6	4	0	0	0	8	0	0	0	0
GB47872	35	10	92	24	10	72	16	15	11	26	61	74	38	0	83	10	13	20	9	36	5	21	51	64
GB47875	227	109	265	190	16	246	153	287	249	300	213	259	226	114	268	190	17	241	153	288	248	301	211	261
GB47876	1302	482	1713	530	416	1455	1351	1831	1276	1671	938	1010	1307	471	1709	507	421	1483	1346	1831	1278	1662	920	1025
GB47891	233	225	179	110	1	22	13	449	114	11	4	4	216	224	171	106	1	8	4	215	2	7	7	4
GB47894	117	88	86	33	59	41	100	155	122	51	32	40	80	99	58	23	41	44	93	117	113	28	14	19
GB47895	57	44	61	24	18	63	28	21	16	51	37	47	11	5	6	0	3	7	14	4	6	6	3	8
GB47900	2	13	3	1	2	4	3	2	1	3	10	7	0	0	0	0	0	0	0	0	0	0	0	0
GB47908	1	0	1	0	0	0	4	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0
GB47918	62	38	250	268	60	154	193	375	287	245	116	71	60	39	251	262	56	136	113	293	260	244	116	71
GB47924	142	26	27	154	129	53	158	230	199	186	137	72	150	31	29	153	133	53	158	230	199	166	134	69
GB47925	7	48	15	56	25	43	107	161	112	27	36	40	10	71	32	56	25	43	107	161	112	27	36	40
GB47929	194	228	457	481	238	1106	402	216	379	200	638	500	191	119	417	519	321	1249	552	306	490	80	469	396
GB47931	150	166	449	138	45	304	174	258	172	312	249	402	114	149	398	101	46	266	154	236	149	295	234	377
GB47934	666	1472	1636	1341	670	7271	2798	4490	1188	3341	4539	2964	666	1476	1717	1578	850	8499	2776	4488	1189	3329	4556	2950
GB47938	31	31	29	53	39	132	55	70	76	152	68	103	24	20	22	47	38	125	47	76	69	130	59	91
GB47941	817	555	852	701	660	1031	1200	2742	1282	507	127	30	818	412	837	706	660	1032	1202	2766	1247	479	133	37
GB47943	72	694	176	2175	1599	26	1951	6916	2119	54	0	0	119	1012	241	2241	1594	26	1246	4326	1903	16	1	8
GB47944	45	15	100	39	26	100	60	80	49	158	134	82	23	14	106	18	13	67	49	52	36	111	68	42
GB47946	656	478	452	146	168	239	199	432	411	524	560	466	542	463	468	140	174	217	182	417	369	440	426	464
GB47947	576	6	946	106	178	626	412	67	50	512	627	620	612	9	1058	108	116	794	414	49	12	417	631	509
GB47948	396	244	1643	322	257	1440	805	630	422	1835	1330	1641	368	182	874	304	236	1387	534	475	287	1693	1226	1510
GB47949	234	66	1175	349	251	933	506	949	390	954	543	658	246	56	958	363	258	908	506	958	387	973	552	671
GB47951	7	29	21	11	5	139	45	54	20	44	46	78	10	28	26	11	5	139	44	54	21	40	41	76
GB47952	0	2	3	0	2	2	0	5	2	1	1	3	0	0	0	0	2	2	0	1	2	0	0	0
GB47955	10	38	25	3	25	48	156	50	10	1	21	14	10	38	25	3	25	48	156	50	10	3	11	1
GB47956	54	33	485	9	78	165	140	127	33	162	114	174	54	33	485	9	78	165	139	127	33	164	114	174
GB47957	1630	1591	11317	1133	1256	3874	2310	2062	1260	3516	2430	4103	1632	1587	11013	1122	1256	3864	3395	3787	2129	3619	2522	4076
GB47960	209	309	391	70	178	938	929	937	137	204	378	387	204	305	366	66	177	906	909	955	136	205	383	378
GB47961	28	11	29	15	21	38	22	55	17	56	46	30	31	16	35	15	21	38	21	42	15	32	24	30
GB47962	2	0	2	1	1	4	2	3	0	0	1	0	0	1	1	1	0	0	2	3	0	1	0	0
GB47966	19	0	0	251	161	11	41	18	16	0	7	0	17	0	3	252	161	7	40	7	19	0	8	0
GB47968	13	43	10	1	7	48	38	16	2	4	52	20	13	43	10	1	7	48	35	13	3	4	53	20
GB47969	93	12	84	13	9	95	50	46	15	46	83	66	92	12	83	3	10	21	56	80	11	46	83	66
